numChars,numWords,avgWordLen,hasPunctuation,capsRatio,totalEntities,hasHashtags,totalHashtags,hasURLs,totalURLs,hasUserMentions,totalUserMentions,wasRetweeted,isRetweet,numPunctuation,numDigits,gender
94,18,5,True,0.0744680851064,2,True,1,False,0,True,1,True,True,8,0,F
27,7,3,True,0.0740740740741,1,False,0,False,0,True,1,False,False,2,0,M
105,21,5,True,0.047619047619,1,False,0,False,0,True,1,True,True,5,0,F
75,17,4,True,0.04,1,False,0,False,0,True,1,True,True,2,0,F
45,8,5,True,0.333333333333,2,True,1,False,0,True,1,False,True,5,0,M
57,10,5,True,0.0701754385965,4,True,1,False,0,True,3,False,True,14,8,M
64,14,4,True,0.078125,1,False,0,False,0,True,1,False,True,7,0,F
58,13,4,True,0.0344827586207,1,False,0,False,0,True,1,False,True,2,0,F
70,11,6,True,0.114285714286,2,False,0,False,0,True,2,False,True,7,0,F
80,18,4,True,0.075,2,True,1,False,0,True,1,False,True,8,5,F
88,19,4,True,0.204545454545,1,False,0,True,1,False,0,False,True,10,2,M
24,8,3,True,0.0416666666667,0,False,0,False,0,False,0,False,True,5,0,F
107,24,4,True,0.140186915888,1,False,0,True,1,False,0,False,True,12,4,F
21,5,4,True,0.047619047619,1,True,1,False,0,False,0,False,True,2,0,F
102,27,3,True,0.117647058824,1,False,0,True,1,False,0,False,True,11,0,F
25,11,2,True,0.0,0,False,0,False,0,False,0,False,True,17,0,F
46,11,4,True,0.108695652174,1,True,1,False,0,False,0,False,True,2,4,M
91,22,4,True,0.263736263736,2,True,1,True,1,False,0,False,True,12,10,M
23,4,5,True,0.0434782608696,1,False,0,False,0,True,1,False,False,3,0,M
16,3,5,True,0.1875,0,False,0,False,0,False,0,False,True,1,0,F
41,13,3,True,0.268292682927,1,False,0,True,1,False,0,False,True,11,0,F
14,2,7,False,0.0714285714286,0,False,0,False,0,False,0,False,True,0,0,F
42,7,6,True,0.119047619048,2,True,1,False,0,True,1,False,False,10,0,F
97,22,4,True,0.0515463917526,2,False,0,False,0,True,2,False,False,8,2,F
52,8,6,False,0.0192307692308,0,False,0,False,0,False,0,False,True,0,0,F
20,5,4,True,0.0,0,False,0,False,0,False,0,False,True,4,0,F
37,11,3,True,0.0540540540541,1,False,0,False,0,True,1,False,False,3,1,F
65,19,3,True,0.0307692307692,0,False,0,False,0,False,0,False,True,5,0,F
